Ticker,Price,PreviousClose,Change(%),RSI,Suggestion
BAC,32.5300,32.8600,-1.0043%,73.5,SELL
AIR,37.9500,38.6200,-1.7349%,66.8,SELL
CRM,222.0400,217.9800,1.8626%,43.5,BUY
BABA,236.1900,226.9000,4.0943%,43.1,BUY
BP.LON,298.7000,295.0000,1.2542%,69.8,-
DIS,178.6900,178.5800,0.0616%,68.1,-
BKNG,2281.5400,2239.8500,1.8613%,67.9,-
GRG.LON,1930.0000,1901.0000,1.5255%,67.7,-
CINE.LON,69.3400,67.7600,2.3318%,65.5,-
BRK-B,234.0300,232.8800,0.4938%,63.5,-
GSK,38.3400,38.0700,0.7092%,62.6,-
INTC,51.6500,52.1900,-1.0347%,61.7,-
GOOG,1807.2100,1787.2500,1.1168%,61.0,-
AAPL,132.0500,130.9200,0.8631%,57.7,-
AMD,94.5800,95.1600,-0.6095%,57.6,-
DAI.DE,57.6900,57.7900,-0.1730%,55.1,-
DOM.LON,335.0000,333.0000,0.6006%,55.1,-
F,9.0000,9.0600,-0.6623%,54.0,-
ABNB,149.7700,151.2700,-0.9916%,52.9,-
CAR,37.3500,37.6300,-0.7441%,52.4,-
AMZN,3182.7000,3162.1600,0.6496%,48.7,-
AZN,50.8600,50.1900,1.3349%,48.1,-
AAL,15.1300,15.3800,-1.6255%,45.9,-
BA,209.9000,212.7100,-1.3210%,45.8,-
NCNO,73.0600,71.3500,2.3966%,45.3,-
FB,267.5700,268.7400,-0.4354%,44.5,-
IAG,3.4900,3.7100,-5.9299%,44.3,-
BYND,118.1000,120.7000,-2.1541%,30.9,-
FDX,244.9600,246.0300,-0.4349%,23.4,-
